Λήμμα,Επεξήγηση,Άρθρο
Άγιατρο,Ανίατο,sing.N
Άγνος,Λυγαριά,sing.M
Άεζα,Χωρίς αμοιβή,null
Άζουλα,Κόπιτσα,sing.F
Άκλαιρος,Πάμφτωχος,sing.M
Άκλαιρος,Χωρίς κλήρο,sing.M
Άκολα,"Πολύ βαθιά, απάτητα",plur.N
Άκοπα,Συνέχεια,plur.N
Άκοπα,Χωρίς διακοπή,plur.N
Άκουσμα,Φήμη,sing.N
Άκουσμα,Διαδόσεις,sing.N
Άλμπεδο,"Ασπρόξυλο από τις Άλπεις, μαλακό και ευκολοδούλευτο",sing.N
Άλτο,Ψηλό,sing.N
Άμπιλος,Ικανός,sing.M
Άμπιτο,Ιερατικό ένδυμα,sing.N
Άμπουλες,Πολλά νερά,plur.M
Άνζο,Συμβολαιογραφική πράξη,null
Άνθρακας,Αρρώστια,sing.M
Άνθρακας,Κακοήθης φλύκταινα,sing.M
Άνθρακας,Κατάρα,sing.M
Άντα,Επιβλητική περπατησιά,sing.F
Άντζα,Γάμπα,sing.F
Άντζι,Μάλιστα,null
Άντζι,Όπως και να ναι,null
Άντζουλα,Είδος μεταλλικού κουμπιού,sing.F
Άρπαση,Αρδευτικό κανάλι,sing.F
Άρπεζα,Σιδερένια άγκιστρα για μεταλλικές κατασκευές ή για την στερέωση τοίχων στις οικοδομές,plur.N
Άρτα πάντα,Η άλλη πλευρά μιας κατασκευής ή κάτι διαμπερές,null
Άσος,Άξονας του κάρου,null
Άσπαγας,Το φυτό δορύκυνον,sing.M
Άστα,Σήκω,null
Άστε ντούε,Μου επέβαλε,sing.N
Άτσιτο,Οξύ που χρησιμοποιούσαν οι λευκοσιδηρουργοί για το καθάρισμα πριν τη συγκόλληση των μετάλλων,sing.N
Άτσου,Ας τους,null
Άχλα,Καταχνιά,sing.F
Έβγαση,Έξοδος,null
Έγιανε,Έγινε καλά,null
Έγκαψη,Φλόγωση,sing.F
Έμπλασε,Έπιασε,null
Έμπο,Καταιγίδα,null
Ένιαξε,Μάζεψε,null
Ένιαξε,Μίκρυνε,null
Έντεσα,Σκόνταψα,null
Έντεσα,Πιάστηκα από κάπου,null
Έπλασε Ζούλιξε,Έλιωσε Από την πίεση,null
Έρτα,Τα πλαίσια γύρω από τις πόρτες και τα παράθυρα που εξέχουν,sing.F
Έσσωπος,Αρωματικό φρύγανο,sing.M
Έστρα,Οίστρος,null
Έστρα,Έμπνευση,null
Έσωσα,Τελείωσα,null
Έτι,Μόλις,null
Έτο,Νάτο,null
Έχιμο,Ιδιοκτησία,sing.N
Ήβρεγμα,Θα το έχω έτοιμο (Θα τόχω ήβρεγμα).,sing.N
Ήλιακας,Κόκκινο χταπόδι που γίνεται λιαστό.,sing.M
Ήμα,Ήμουν,null
Ίγγερα,Άκρη – Άκρη,null
Ίγκια–Ίγκια,Άκρη – Άκρη,
Ίντιμα,Στρωματοθήκη,sing.F
Ίσκνα,Διαλύθηκε,null
Ίσκρα,Τσακμάκι με πέτρα για το άναμμα της φωτιάς,sing.F
Ίσωμα,Τέλος πάντων,null
Όβολα,Χρήματα,plur.N
Όγιεσκε,Όχι,null
Όλτρε,Εκτός,null
Όλτρι,Εκτός,null
Όμηρο,Η πρασινίλα της πέτρας.,sing.N
Όμηρο,Πρασινάδα από την υγρασία.,sing.N
Όμιρο,Η πρασινίλα της πέτρας.,sing.N
Όμιρο,Πρασινάδα από την υγρασία.,sing.N
Όμπλιγο,Υποχρέωση,sing.N
Όμπολο,Κουτός,sing.N
Όμπρα,Απόχρωση του καφέ χρώματος.,sing.F
Όνβρια,Αγριόχορτο θεραπευτικό για την χοληστερίνη.,plur.N
Όνειδο,Ντροπή,sing.N
Όντας,Όταν,null
Όντο,Ζώον,sing.N
Όντσολος,Καντηλανάφτης,sing.M
Όξω,φωνή για να διώξουν το σκύλο.,null
Όπερα,"Έργο, κατασκευή",sing.F
Όποντας,Όποτε,null
Όρμπου,Χάθηκε,null
Όρντινο,"Τάξη, Τακτοποίηση , διαταγή.",sing.N
Όρσε,Ορίστε (Συνοδεύει και την γνωστή κερκυραική μούντζα).,null
Όρτσα λα πάντα,Έκφραση που σημαίνει «Άνω–Κάτω».,null
Όστρια,Καιρός με νότιους ζεστούς ανέμους που δεν ευνοεί το ψάρεμα.,sing.F
Όστρια,Νότιος Άνεμος.,sing.F
Ώδε,Εδώ,null
Αβάκα,Φιλενάδα,sing.F
Αβάκα,αγαπητικιά,sing.F
Αβάλη,Κόλπος,sing.F
Αβάλη,Κατηφοριά προς κολπίσκο της θάλασσας,sing.F
Αβάντι,Πάμε,null
Αβάσκαμα,Μάτιασμα,sing.N
Αβέρτα πάγκα,Συνέχεια,null
Αβέρτο,Ανοικτό,sing.N
Αβέρτο πετσάλι,Ελεύθερο,sing.N
Αβέρτο πετσάλι,Ανοικτό,sing.N
Αβαγγέλιστο,Το μωρό που δεν το έχουν «περάσει» από το ευαγγέλιο,sing.N
Αβανιά,Δυσφήμηση,sing.F
Αβαντάρω,Υποστηρίζω,null
Αβαντζαδούρα,Το πλεόνασμα,sing.F
Αβαντιζαίτε,Μπροστά,sing.F
Αβαντσέρνω,Έχω να λαμβάνω,null
Αβαρία,Εξυπηρέτηση,sing.F
Αβαρία,ζημιά,sing.F
Αβασταή,Αβάσταχτο,sing.F
Αβεντόρος,Τζαμπατζής,sing.M
Αβιζάρω,προειδοποιώ,null
Αβλογιά,Λευκάκανθος,sing.F
Αβογαδόρος,Κατήγορος,sing.M
Αβουκάτος,Δικηγόρος,sing.M
Αγάλια,Σιγά,null
Αγάλικα,Αμύγδαλα με μαλακό τσόφλι,plur.N
Αγαλάρει,Δεν ξεφεύγει,null
Αγαντζάδο,Ύφασμα πολυτελές με χρυσά κεντήματα,sing.N
Αγαντζάρω,Γραπώνω,null
Αγαντζάρω,γαντζώνω,null
Αγαντζάρω,αρπάζω,null
Αγαρλίζω,Ανακατεύω,null
Αγγανάδος,Απατημένος,sing.M
Αγγανάρω,Απατώ,null
Αγγελοκρούομαι,Τρομάζω,null
Αγγελοκρούομαι,Ταράζομαι,null
Αγγελόνι,"Φυτό άγριο που φυτρώνει στους λόγγους, έχει κόκκινους μικρούς καρπούς που τρώγονται",sing.N
Αγγιό,Δοχείο,sing.N
Αγγουρέτο,Πολυάγγιστρο για το ψάρεμα των αφρόψαρων,sing.N
Αγγουρακιά,"Φυτό με ρίζα που μοιάζει με μικρό αγγούρι, μοίαζει με το ραδίκι και γινεται σαλατα",sing.F
Αγγούσα,Βαρυστομαχιά,sing.F
Αγερίνα,Πολύ ψιλή άμμος σοβατίσματος,sing.F
Αγερμός,Ξεσηκωμός,sing.M
Αγιάθονας,Φωτοστέφανο,sing.M
Αγιασμός,Δυόσμος,sing.M
Αγιοκωνσταντινάτο,Βυζαντινό νόμισμα μεγάλης αξίας,sing.N
Αγιοτικά,Τα ανήκοντα στους ναούς,plur.N
Αγιούντα,Προσθήκη σε κάποια κατασκευή,sing.F
Αγιούταλος,Το πουλί Λούφα,sing.M
Αγιούτο,Βοήθεια,null
Αγιούτο,Βοηθήστε με,null
Αγκίσερας,Κισσός,sing.M
Αγκινιάζω,Εγκαινιάζω,null
Αγκινιάζω,Ανοίγω το καινούριο κρασί,null
Αγκιουστάρω,Δικαιώνω ,null
Αγκιουστάρω,Αποδίδω δικαιοσύνη,null
Αγκλυστήρι,Το εργαλείο του κλύσματος,sing.N
Αγκονάρι,Γωνία ,sing.N
Αγκονάρι,Ακρογωνιαίος λίθος,sing.N
Αγκούσα,Στεναχώρια,sing.F
Αγκρέμιθας,Αγριοφυστικιά,sing.M
Αγκωνή,Γωνία,sing.F
Αγκωνή,Η γωνία του ψωμιού,sing.F
Αγνίλας,Δάσος με λυγαριές,sing.M
Αγούλιερας,Φυτό,sing.M
Αγούλιερας,Ζιζάνιο,sing.M
Αγρέμυθας,Άγριο δένδρο του λόγγου,sing.M
Αγρίωμα,"Χέρσο ,ακαλλιέργητο χωράφι",sing.N
Αγριάδα,Αγριολάχανο,sing.F
Αγρικάω,Επαγρυπνώ,null
Αγριοκομιντοριά,Το φυτό στρύχνος,sing.F
Αγροικά,Απρεπώς φέρθηκε,null
Αγυρεψιά,δεν την ηθελε κανείς,sing.F
Αγυριώτικο,Χορός περιοχής Αγύρου,sing.N
Αδειά,Ελεύθερος χρόνος,sing.F
Αδερφομοίρι,Το μερίδιο του αδερφού από την περιουσία του γονέα,sing.N
Αδικευτής,Άδικος,sing.M
Αδικιά,Αδικία,sing.F
Αδικογένι,Κακομοίρης,sing.N
Αδικοφάης,Εκμεταλλευτής,sing.M
Αδουριά,Πρόσκαιρο ,sing.F
Αδουριά,Αυτό που δεν αντέχει στο χρόνο ,sing.F
Αδούλης,Τεμπέλης,sing.M
Αδράχτι,Εργαλείο για την δημιουργία μάλλινης κλωστής,sing.N
Αδράχτια,Βρισιά,null
Αδραχτηλιόνοι,Οι κολιτσίδες του χωραφιού,plur.M
Αετονύχι,Είδος άσπρου επιτραπέζιου σταφυλιού με γαμψή ρόγα,sing.N
Αετός,Είδος σαλαχιού,sing.M
Αζόερας,Δυόσμος,sing.M
Αζώερας,Μαργαρίτα,sing.M
Αθήρι,Το καλύτερο,sing.N
Αθράκι,Το κάρβουνο,sing.N
Ακίσιο,Απόκτημα,sing.N
Ακίστο,Απόκτημα,sing.N
Ακανίσκευτος,Ο αρνούμενος να δωροδοκηθεί,sing.M
Ακαπέλα,Τραγούδι Χωρίς συνοδεία οργάνων,null
Ακιστάδος,Αποκτημένος,sing.M
Ακιστάρω,Αποκτώ,null
Ακισταδόρος,Κατακτητής,sing.M
